"activity_desc"	"subject_ids"	"tBodyAcc-mean()-X"	"tBodyAcc-mean()-Y"	"tBodyAcc-mean()-Z"	"tBodyAcc-std()-X"	"tBodyAcc-std()-Y"	"tBodyAcc-std()-Z"	"tGravityAcc-mean()-X"	"tGravityAcc-mean()-Y"	"tGravityAcc-mean()-Z"	"tGravityAcc-std()-X"	"tGravityAcc-std()-Y"	"tGravityAcc-std()-Z"	"tBodyAccJerk-mean()-X"	"tBodyAccJerk-mean()-Y"	"tBodyAccJerk-mean()-Z"	"tBodyAccJerk-std()-X"	"tBodyAccJerk-std()-Y"	"tBodyAccJerk-std()-Z"	"tBodyGyro-mean()-X"	"tBodyGyro-mean()-Y"	"tBodyGyro-mean()-Z"	"tBodyGyro-std()-X"	"tBodyGyro-std()-Y"	"tBodyGyro-std()-Z"	"tBodyGyroJerk-mean()-X"	"tBodyGyroJerk-mean()-Y"	"tBodyGyroJerk-mean()-Z"	"tBodyGyroJerk-std()-X"	"tBodyGyroJerk-std()-Y"	"tBodyGyroJerk-std()-Z"	"tBodyAccMag-mean()"	"tBodyAccMag-std()"	"tGravityAccMag-mean()"	"tGravityAccMag-std()"	"tBodyAccJerkMag-mean()"	"tBodyAccJerkMag-std()"	"tBodyGyroMag-mean()"	"tBodyGyroMag-std()"	"tBodyGyroJerkMag-mean()"	"tBodyGyroJerkMag-std()"	"fBodyAcc-mean()-X"	"fBodyAcc-mean()-Y"	"fBodyAcc-mean()-Z"	"fBodyAcc-std()-X"	"fBodyAcc-std()-Y"	"fBodyAcc-std()-Z"	"fBodyAcc-meanFreq()-X"	"fBodyAcc-meanFreq()-Y"	"fBodyAcc-meanFreq()-Z"	"fBodyAccJerk-mean()-X"	"fBodyAccJerk-mean()-Y"	"fBodyAccJerk-mean()-Z"	"fBodyAccJerk-std()-X"	"fBodyAccJerk-std()-Y"	"fBodyAccJerk-std()-Z"	"fBodyAccJerk-meanFreq()-X"	"fBodyAccJerk-meanFreq()-Y"	"fBodyAccJerk-meanFreq()-Z"	"fBodyGyro-mean()-X"	"fBodyGyro-mean()-Y"	"fBodyGyro-mean()-Z"	"fBodyGyro-std()-X"	"fBodyGyro-std()-Y"	"fBodyGyro-std()-Z"	"fBodyGyro-meanFreq()-X"	"fBodyGyro-meanFreq()-Y"	"fBodyGyro-meanFreq()-Z"	"fBodyAccMag-mean()"	"fBodyAccMag-std()"	"fBodyAccMag-meanFreq()"	"fBodyBodyAccJerkMag-mean()"	"fBodyBodyAccJerkMag-std()"	"fBodyBodyAccJerkMag-meanFreq()"	"fBodyBodyGyroMag-mean()"	"fBodyBodyGyroMag-std()"	"fBodyBodyGyroMag-meanFreq()"	"fBodyBodyGyroJerkMag-mean()"	"fBodyBodyGyroJerkMag-std()"	"fBodyBodyGyroJerkMag-meanFreq()"
"1"	"LAYING"	25	-0.16591773471194	-0.18328994810597	-0.16191534819403	-0.172304069871642	-0.140568548761194	-0.14866513241791	-0.0961979917313433	-0.134313058086567	-0.105941123922388	-0.11590838168806	-0.116251158985075	-0.111754754738806	-0.132996952031343	-0.135301001108955	-0.140981890671642	-0.1198925276	-0.140076743776119	-0.0973866022002985	-0.141743414071642	-0.170601149370149	-0.148263534773134	-0.105183654373134	-0.12042908470397	-0.143458178868657	-0.105595443552239	-0.0924408166850746	-0.100232929902985	-0.163104540850746	-0.158563190879104	-0.16886193158209	-0.13137380041791	-0.141044689525373	-0.1654026195	-0.173089851814478	-0.141536924668358	-0.189407367465672	-0.149761773197582	-0.143581459976119	-0.154611903059701	-0.148861906119403	-0.116238726089552	-0.154661120591045	-0.154845246183582	-0.157183381846119	-0.143896526973134	-0.101262219131343	-0.17296000468209	-0.178602461926866	-0.168491762772537	-0.137902530185075	-0.147141299410448	-0.153986475089552	-0.152068237446269	-0.133571193716418	-0.137459982714627	-0.142132289944776	-0.144093270098657	-0.166437034447761	-0.185325061349552	-0.183076284228358	-0.169425945252239	-0.159218150570149	-0.161060654962687	-0.163876425672687	-0.116410851701493	-0.108407006708955	-0.168603916859701	-0.136236311256716	-0.112094329158209	-0.114714017920896	-0.159726788908955	-0.140746350298507	-0.111354531401493	-0.106409567765672	-0.0975438827477612	-0.12083563501194	-0.121170782808955	-0.139025879013433	-0.14704618111791
"2"	"LAYING"	26	-0.442304743371684	-0.435993626561219	-0.434210326074796	-0.449457759297704	-0.448051238968367	-0.441268482178571	-0.444127294206633	-0.437502253329592	-0.448970894717347	-0.455869684199745	-0.45190589319949	-0.456522807891786	-0.460529146893571	-0.452148972789541	-0.451527915768367	-0.452336535289286	-0.451212489398214	-0.443214471600204	-0.451175456026276	-0.445946535260842	-0.446008846143367	-0.452110592427806	-0.450527944726467	-0.457178416838776	-0.471163928385969	-0.459780847714286	-0.465009062939005	-0.460812578682908	-0.449024483360204	-0.457115819040816	-0.461586409634821	-0.467670808266071	-0.468724793060459	-0.477051008384949	-0.473709300197194	-0.467016131554592	-0.441356811476786	-0.445948685087755	-0.435232161708929	-0.448783620594643	-0.459309641140077	-0.465596256763776	-0.446116712155102	-0.445870031157653	-0.45027277532398	-0.443011692285714	-0.434926429050765	-0.455211049006633	-0.465413878524235	-0.439423484591582	-0.46523535839461	-0.459986842902449	-0.459001197026709	-0.450573591841454	-0.454143147941225	-0.45256052582602	-0.464901456180867	-0.452216167993367	-0.444331519003589	-0.454248518919031	-0.463169461060204	-0.469181813247704	-0.466640615616301	-0.460952359752296	-0.46597980180773	-0.463045508682908	-0.452717065587755	-0.452846919760918	-0.460264194315816	-0.455720150872449	-0.454154396419388	-0.460163672279337	-0.454203668281122	-0.446547106572959	-0.448911021157908	-0.458243101226429	-0.464085451335204	-0.452648415452628	-0.456486448557143
"3"	"LAYING"	27	-0.741571997007181	-0.73987089662234	-0.735611656364362	-0.74665427608383	-0.737034128631649	-0.756882001715426	-0.749456087523936	-0.753860418674548	-0.75454840864312	-0.749282791164894	-0.751705660132979	-0.753838311968617	-0.740173706789229	-0.737434078845745	-0.749773956441489	-0.741238425012819	-0.739157800928191	-0.740976661555851	-0.748594761390957	-0.75331185435258	-0.756465424802394	-0.75596390319734	-0.75207777225	-0.747360135683777	-0.748494141911968	-0.758801483600798	-0.74448440927633	-0.744966750473404	-0.750576202043856	-0.736262776817553	-0.760871323199734	-0.750374355700266	-0.751729685672872	-0.74558937509258	-0.736023089003191	-0.740871778594176	-0.748596616973404	-0.741377714532447	-0.752665882335106	-0.751398240687221	-0.761557187646277	-0.758686880545213	-0.751371349721543	-0.745303173544681	-0.742696971554255	-0.749395786019149	-0.738499482071808	-0.747268860174734	-0.743414457606383	-0.780302071672872	-0.77453558153484	-0.759623097806117	-0.775115514671277	-0.770668798339096	-0.767027372478165	-0.744190962435638	-0.755108698869681	-0.744984938808511	-0.732687638734309	-0.741995061594149	-0.73172253242633	-0.739551662319149	-0.740952798406915	-0.740756123680851	-0.74645796275984	-0.756917867619229	-0.744451526444149	-0.740605185780585	-0.73741636311516	-0.745441979968351	-0.746995989612234	-0.757355010001181	-0.744193889348936	-0.749268171417553	-0.753418549504255	-0.754612147893351	-0.754049691223404	-0.758247106455585	-0.750986152744681
"4"	"LAYING"	28	-0.767381973240838	-0.778573491842147	-0.768476145317277	-0.779818791026649	-0.785766366275131	-0.766163844541623	-0.756875139575916	-0.757726471148429	-0.749433306812356	-0.758875510280105	-0.757259484132461	-0.753697847449738	-0.760083825287958	-0.758747107792147	-0.764155786335079	-0.765893810356021	-0.754921665763089	-0.762014563311518	-0.777580334085602	-0.775993424232199	-0.775228747865707	-0.770631239861257	-0.78244605547644	-0.777516525557853	-0.784624044573298	-0.78224550541623	-0.786524430382199	-0.775972154730367	-0.778155708322251	-0.775542113117801	-0.761908289460733	-0.764881573636126	-0.760150630825393	-0.758858300748953	-0.757474226832461	-0.75826124771466	-0.74808221265445	-0.755221541586387	-0.753946497458639	-0.757410504395288	-0.766458895102094	-0.77070933142801	-0.764896797470628	-0.767935547560209	-0.765479429806806	-0.763992312450262	-0.768379546410822	-0.777800619772251	-0.781510934251309	-0.78470003063089	-0.78768013767801	-0.784282079389791	-0.777629921102094	-0.783790497449738	-0.781730886136126	-0.760353508586387	-0.765109553643979	-0.755823592262304	-0.76568262320178	-0.759833117856021	-0.760022781620445	-0.75037804715445	-0.755904360488482	-0.757428032117801	-0.762254464041885	-0.771417664928796	-0.767701421958115	-0.778806952641361	-0.776154498240838	-0.775118997050785	-0.771040390034031	-0.76642446717801	-0.770231695082461	-0.774687560398953	-0.768657437039267	-0.761070422232984	-0.769015611876963	-0.765576425110995	-0.770153925926702
"5"	"LAYING"	29	-0.767747724666279	-0.771962824530814	-0.780630847463954	-0.768181394267442	-0.75423931246657	-0.763867938796512	-0.721333211709302	-0.738321279177616	-0.730224645042151	-0.737576195732558	-0.742683080309593	-0.740397173486628	-0.708008094087209	-0.718874652681337	-0.722089696703779	-0.731816091100291	-0.740650550538663	-0.732290190802326	-0.744436849159884	-0.748221556732267	-0.752351791174419	-0.747248216879942	-0.752206172496512	-0.751074779952616	-0.763848197993023	-0.76199491165407	-0.761984073820349	-0.772294067010174	-0.767912319326744	-0.766494088536919	-0.747527449511919	-0.745653089892442	-0.731038392376163	-0.724092850920221	-0.740005985898837	-0.743964541718023	-0.72883666137689	-0.737853838633721	-0.73820445284564	-0.743443815607849	-0.739570653322674	-0.744105407855233	-0.754994154898895	-0.753594697832558	-0.75485494545375	-0.759997941348837	-0.769700054636628	-0.756219770043314	-0.760426319950291	-0.758582801848837	-0.750128356802326	-0.751569744555233	-0.759242721651163	-0.751456201363372	-0.748055048526163	-0.749999621551163	-0.743127813693023	-0.737365849590116	-0.747218363339244	-0.739913818949709	-0.745229640876163	-0.746347371163372	-0.751224957017442	-0.761006411127907	-0.772614331278198	-0.742164919197674	-0.743601980988372	-0.748037303436628	-0.740625021073343	-0.748977077581395	-0.749921390051744	-0.749418744366279	-0.737663474595058	-0.753536400331395	-0.741999992593023	-0.760218684578488	-0.757803201965116	-0.752564664735465	-0.767432060851744
"6"	"LAYING"	30	-0.621743525362141	-0.644084280572324	-0.625404334224543	-0.640503313556136	-0.6532759182	-0.639568284306527	-0.631537847754047	-0.623526924090313	-0.62605127381201	-0.631383787993003	-0.613846652630026	-0.620701995025849	-0.603148646128198	-0.604204660012089	-0.603405914194256	-0.613898303150653	-0.624244674332637	-0.608807780086084	-0.604965539864465	-0.608758515369112	-0.608249691557702	-0.608506115487467	-0.614369536773629	-0.620328439123238	-0.608589694206684	-0.614074153996345	-0.606864418874514	-0.615633133215144	-0.619301741611227	-0.633187661541253	-0.613083225291645	-0.61475691303577	-0.590701891018277	-0.60986044394752	-0.621952153374413	-0.612147083135326	-0.621821895901567	-0.599289148786162	-0.634818275756658	-0.618491951624804	-0.623032161734987	-0.622308857906527	-0.629684806195822	-0.611663143803916	-0.625384721521149	-0.623218919879373	-0.622014117210444	-0.611481659522977	-0.632536010772585	-0.608455149256919	-0.593298415330809	-0.591314860749608	-0.600431551844386	-0.600252955578851	-0.588902608634465	-0.593323090676501	-0.592654576460809	-0.598015201729243	-0.640993502415144	-0.645199846874151	-0.639883550396867	-0.63251724916423	-0.631030844916188	-0.627197856271802	-0.612244308960574	-0.602581278967363	-0.608370333998956	-0.58737592375953	-0.594545037112298	-0.572201432985744	-0.576494254318799	-0.582665105824282	-0.613938570356397	-0.602507727543864	-0.607386022074674	-0.599780389573734	-0.601052587891123	-0.62708430988705	-0.604465666262924
"7"	"SITTING"	8	-0.633281114608883	-0.642104825959218	-0.658844233648045	-0.650956923749162	-0.654044223920112	-0.660738952418994	-0.661757272554749	-0.657513613067039	-0.672338223217877	-0.680443911396089	-0.652643237910056	-0.664563628821229	-0.65814786198324	-0.648702327980447	-0.649751370681564	-0.646072732004469	-0.664405540195531	-0.662273821736313	-0.654349191765363	-0.641015966764246	-0.665087772301676	-0.663558000103352	-0.670087958603352	-0.682314547139665	-0.629329881865922	-0.65042127750838	-0.649909668005587	-0.646175395877654	-0.626582703451955	-0.647295953899441	-0.638731144368715	-0.646702859513408	-0.672186121659218	-0.666399351910615	-0.669027673022346	-0.682516122949721	-0.685374140122905	-0.67945627533743	-0.640991637550279	-0.653603724078212	-0.682254876893855	-0.673814800122905	-0.656103132581006	-0.65090190422905	-0.670991317251397	-0.655987127331285	-0.664191560815642	-0.69176297244581	-0.680965015132402	-0.642442722402235	-0.643654642089385	-0.649784547620112	-0.63761804450838	-0.628414596318436	-0.642972655893855	-0.671251140167598	-0.679920183497207	-0.665986936324022	-0.63165683977095	-0.616781447240223	-0.625857276354749	-0.648392846411173	-0.651387945469274	-0.647100969232961	-0.63518571373743	-0.631916757452514	-0.637851483614525	-0.65777751627933	-0.650612682206704	-0.631527251301676	-0.629838499424581	-0.638353774569832	-0.621236020190503	-0.643016539558659	-0.64209578298324	-0.651205143636872	-0.640666126470391	-0.636131171803911	-0.64693975824581
"8"	"SITTING"	11	-0.697233339011076	-0.688824172538608	-0.670997287446519	-0.680427849533544	-0.684862675441772	-0.680317651287975	-0.679686696327184	-0.674164929645253	-0.680492848781962	-0.678914343839241	-0.678517803375949	-0.683896219484177	-0.66712564128924	-0.689071051043354	-0.678968657958861	-0.676762420266772	-0.67457210913924	-0.684140509589241	-0.68789193904557	-0.689330853807278	-0.694329493155063	-0.692534246826899	-0.692691672236392	-0.683281737441772	-0.697985885766456	-0.67884376343038	-0.68874621779019	-0.688389367085443	-0.686365162511392	-0.675471683444937	-0.661781686475348	-0.674865946273418	-0.667426435699051	-0.669338702044304	-0.69725042481962	-0.693169799224684	-0.707891181253165	-0.698036589649367	-0.689822528697152	-0.682083982512658	-0.680957484892057	-0.683442488431646	-0.676222118087975	-0.682687649615506	-0.68373462396519	-0.682150075701266	-0.691317515329114	-0.685748585227848	-0.691391202849684	-0.674589195713924	-0.672179639240506	-0.679067403387057	-0.693606006733544	-0.688306062382911	-0.678502242437342	-0.681375404680063	-0.687318057110759	-0.680843898634177	-0.682995489187342	-0.676995681816171	-0.673194029276212	-0.686723207602848	-0.666904303356139	-0.674971942212025	-0.696544722072468	-0.693712114990506	-0.69764047910443	-0.69138668739557	-0.691032460449367	-0.682022466702532	-0.693745999059177	-0.692927822824367	-0.673868878061392	-0.690415934170886	-0.676549976303797	-0.674941579998734	-0.686602529953892	-0.679442032836076	-0.693909928876266
"9"	"SITTING"	14	-0.908508983739938	-0.913037186006192	-0.919582622369969	-0.919563641702786	-0.920103254241486	-0.91240619473065	-0.899448480560372	-0.896848656489164	-0.894314936993808	-0.889286100717926	-0.895482116498452	-0.899762968873065	-0.895631710619195	-0.895916364439629	-0.898007962693498	-0.899755693547988	-0.899973047306502	-0.904270592962848	-0.907719786656347	-0.910121196752322	-0.908410322291022	-0.905442726687307	-0.899915962058824	-0.893894625356037	-0.906608530374613	-0.899580600835913	-0.901269408424149	-0.906684709927245	-0.912800176718266	-0.910259459114551	-0.911887526990712	-0.914084748795666	-0.907381045990093	-0.90868722075387	-0.892599160608978	-0.895496924520124	-0.903200308074303	-0.911064360061919	-0.895681848575851	-0.90085472795356	-0.902421340235294	-0.894800978314241	-0.896931361795975	-0.904925349708978	-0.899676203486068	-0.894767613303406	-0.893311180897833	-0.897459257325077	-0.900377979105263	-0.890469540377709	-0.889826699424149	-0.900281995547988	-0.898635955662539	-0.904875136346749	-0.903401421671827	-0.908972503309598	-0.904456891278638	-0.893247424343653	-0.897380219690402	-0.911532196083591	-0.897437870154799	-0.900004929702786	-0.901435395520124	-0.900901601077399	-0.886722509214241	-0.88865667706192	-0.888344739430341	-0.904674860681115	-0.904657032229102	-0.892460444628483	-0.895054261860681	-0.89777834155418	-0.90206234450774	-0.91035790420743	-0.904229288456037	-0.896485817229102	-0.885365069668731	-0.899431735721362	-0.903504223157895
"10"	"SITTING"	15	-0.801987091929878	-0.797574557527744	-0.799098339704268	-0.795141979634146	-0.797135383621951	-0.783014017460366	-0.789668212602439	-0.786563612057927	-0.778198215945122	-0.780115987540854	-0.777380586768293	-0.774063118057927	-0.773332656661585	-0.77954150975	-0.774961545240854	-0.778080097209756	-0.789953485765244	-0.774548093173171	-0.797220382201219	-0.78293184393628	-0.773520323071341	-0.774302050670732	-0.780176565984146	-0.787218358560976	-0.789377647719512	-0.793140487831646	-0.786585467715854	-0.796419180346646	-0.793190207028049	-0.79044227122561	-0.793397658525305	-0.796316343460366	-0.783249376915244	-0.787092539530488	-0.786100703817073	-0.7877954304125	-0.793547334911585	-0.786728600096037	-0.783746776278659	-0.77843195486189	-0.797190360306402	-0.799064665579268	-0.788320328027439	-0.78293443147561	-0.777322369396341	-0.776379879651219	-0.791795058270122	-0.796885822492988	-0.785557204333232	-0.779508097682927	-0.788800578634146	-0.79081701567378	-0.791703373673781	-0.790112645762195	-0.794562087094817	-0.780575892390549	-0.782349515881098	-0.783646978387195	-0.786971642499695	-0.78243936829878	-0.779131619701829	-0.780241344076219	-0.779319532930793	-0.783724874240335	-0.771557724859756	-0.765503246277439	-0.76750326277439	-0.798590280112805	-0.799491351343598	-0.796805243442073	-0.784300138387195	-0.785291197378049	-0.796596620365549	-0.794579511503049	-0.808757065968902	-0.796313520820122	-0.802676503237805	-0.811443146428354	-0.791465643712012
